block,latd,lato,lond,lono,lat,lon
1,53,3.673,132,39.407,53.06121667,-132.6567833
2,53,3.728,132,37.62,53.06213333,-132.627
3,53,4.805,132,37.711,53.08008333,-132.6285167
4,53,4.75,132,39.498,53.07916667,-132.6583
5,53,3.673,132,39.407,53.06121667,-132.6567833
6,52,12.401,131,38.953,52.20668333,-131.6492167
7,52,12.44,131,37.198,52.20733333,-131.6199667
8,52,13.518,131,37.262,52.2253,-131.6210333
9,52,13.479,131,39.017,52.22465,-131.6502833
10,52,12.401,131,38.953,52.20668333,-131.6492167
11,50,30.566,128,38.858,50.50943333,-128.6476333
12,50,31.645,128,38.85,50.52741667,-128.6475
13,50,31.65,128,40.543,50.5275,-128.6757167
14,50,30.571,128,40.55,50.50951667,-128.6758333
15,50,30.566,128,38.858,50.50943333,-128.6476333
