"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",19,3,3,3,3,3,3,3,0,0,492,0,2,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",26,1,1,1,1,1,1,1,0,0,520,0,,,
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",48,2,2,2,2,2,2,2,0,0,445,0,1,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",53,2,2,2,2,2,2,2,1,465,0,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",55,25,25,25,25,25,25,62,0.44,475,474,0,9,16,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",56,11,11,11,11,11,11,11,0.73,470,490,0,2,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",64,24,24,24,24,24,24,36,0.38,457,472,0,0,24,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",67,14,14,14,14,14,14,14,0.64,488,480,0,1,12,1
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",68,10,10,10,10,10,10,10,0.5,487,453,0,1,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",70,1,1,1,1,1,1,1,1,410,0,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,8,8,8,8,8,8,8,0.63,449,510,0,3,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",74,1,1,1,1,1,1,1,1,415,0,0,0,1,0
