"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen"
"SHORTRAKER ROCKFISH",54,1,1,1,1,1,0,1,1,485,0,0
"SHORTRAKER ROCKFISH",68,1,1,1,1,1,0,1,1,635,0,0
"SHORTRAKER ROCKFISH",70,2,2,2,2,2,0,2,0,0,543,0
"SHORTRAKER ROCKFISH",72,1,1,1,1,1,0,1,1,775,0,0
"SHORTRAKER ROCKFISH",74,1,1,1,1,1,0,1,1,450,0,0
"SHORTRAKER ROCKFISH",81,2,2,2,2,2,0,2,0.5,635,520,0
"YELLOWEYE ROCKFISH",20,2,2,2,2,2,0,2,1,533,0,0
"YELLOWEYE ROCKFISH",44,15,15,15,15,15,0,15,0.47,594,548,0
"YELLOWEYE ROCKFISH",45,6,6,6,6,6,0,6,0.33,625,604,0
"YELLOWEYE ROCKFISH",46,3,3,2,2,3,0,3,0.5,450,495,595
"YELLOWEYE ROCKFISH",49,2,2,2,2,2,0,2,0.5,495,605,0
"YELLOWEYE ROCKFISH",50,15,15,15,15,15,0,15,0.47,544,494,0
"YELLOWEYE ROCKFISH",52,1,1,1,1,1,0,1,1,565,0,0
"LINGCOD",22,3,3,3,3,6,0,14,0,0,975,0
"LINGCOD",42,2,2,2,2,4,0,6,0,0,1003,0
"LINGCOD",44,1,1,1,1,2,0,18,0,0,1000,0
"LINGCOD",45,2,2,2,2,4,0,39,0,0,1043,0
"LINGCOD",50,2,2,2,2,4,0,11,0,0,1085,0
"LINGCOD",52,2,2,2,2,4,0,8,0,0,1100,0
"LINGCOD",58,9,9,9,9,18,0,12,0,0,1084,0
"LINGCOD",68,2,2,2,2,4,0,2,0,0,1077,0
