"Year","lat","depth","temperature","Sets"
2021,54,228.1,6.1,52
2021,48,560.2,4.9,9
2021,49,632.3,4.4,21
2021,48,351.2,6.3,12
2021,51,1130.5,2.9,77
2021,51,652.9,4.1,80
2021,51,487.5,4.8,74
2021,48,590.7,4.9,2
2021,51,515.9,5,48
2021,48,226.1,6.9,15
2021,49,895.3,3.7,24
2021,49,714.9,4.1,30
2021,50,1135.8,3.2,39
2021,50,233.8,7.2,42
2021,48,1114.9,3.2,18
2021,53,830.1,3.8,62
2021,50,238.5,7.2,49
2021,53,1149.5,2.9,59
2021,52,552.4,4.7,70
2021,49,218.7,7,20
2021,49,1250.8,2.9,23
2021,49,479.9,5.1,26
2021,53,1210.3,2.7,65
2021,51,290.3,6.7,47
2021,53,430,5.5,68
2021,51,240,5.9,73
2021,48,1054.7,3.3,3
2021,51,958,3.3,76
2021,51,788.9,3.9,79
2021,48,646.5,4.7,6
2021,53,227.9,6.6,58
2021,49,711.3,4.2,33
2021,50,923.4,3.8,43
2021,54,340.8,5.9,53
2021,48,523.2,5.1,13
2021,48,573.6,4.8,16
2021,48,321.7,6.3,19
2021,50,882.4,3.8,40
2021,54,365.9,5.7,57
2021,48,1270,2.9,17
2021,49,694.5,4.2,29
2021,53,605.5,4.5,61
2021,51,936.3,3.4,75
2021,53,449.1,5.4,67
2021,49,198.8,7.1,22
2021,48,1197.3,3,10
2021,53,427.8,5.6,64
2021,51,230.8,6.6,46
2021,48,304.7,6.7,1
2021,50,210.5,7.2,50
2021,52,700.4,4.2,71
2021,48,981.7,3.6,4
2021,50,297.3,6.9,41
2021,49,628.5,4.5,32
2021,50,194.3,7.2,44
2021,54,561.6,4.6,54
2021,48,485.6,5.3,5
2021,51,871.8,3.5,78
2021,48,682.8,4.5,11
2021,51,520.5,4.9,81
2021,48,191.6,7.2,8
2021,53,1118.5,3,60
2021,50,221.3,7,45
2021,52,732.8,4,69
2021,49,593,4.6,28
2021,53,1190.9,3,66
2021,49,634.8,4.4,31
2021,49,410.7,5.6,25
2021,50,626.4,4.4,51
