"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.24,0.76,550,601,581
"S1","RD2       ",0.74,0.26,531,568,531
"S1","RD3       ",0.23,0.77,577,648,615
"S2","RD1       ",0.21,0.79,546,592,579
"S2","RD2       ",0.67,0.33,528,569,540
"S2","RD3       ",0.45,0.55,559,645,574
"S3","RD1       ",0.22,0.78,600,670,649
"S3","RD2       ",0.53,0.47,539,578,549
"S3","RD3       ",0.62,0.38,544,617,566
"S4","RD1       ",0.32,0.68,601,643,621
"S4","RD2       ",0.43,0.57,543,587,561
"S4","RD3       ",0.63,0.37,611,627,605
"S5","RD1       ",0.28,0.72,562,648,608
"S5","RD2       ",0.52,0.48,528,561,547
"S5","RD3       ",0.37,0.63,600,661,596
